,0
1953-10-01,-10572117667.370544
1953-11-01,-10535101444.853577
1953-12-01,-10498171726.667908
1954-01-01,-10461328411.617859
1954-02-01,-10424571398.50798
1954-03-01,-10387900586.142822
1954-04-01,-10351315873.326675
1954-05-01,-10314817158.864288
1954-06-01,-10278404341.56015
1954-07-01,-10242077320.21849
1954-08-01,-10205835993.643982
1954-09-01,-10169680260.641235
1954-10-01,-10133610020.01445
1954-11-01,-10097625170.568314
1954-12-01,-10061725611.10727
1955-01-01,-10025911240.435745
1955-02-01,-9990181957.358322
1955-03-01,-9954537660.679535
1955-04-01,-9918978249.20366
1955-05-01,-9883503621.735352
1955-06-01,-9848113677.079163
1955-07-01,-9812808314.039352
1955-08-01,-9777587431.420639
1955-09-01,-9742450928.02745
1955-10-01,-9707398702.664124
1955-11-01,-9672430654.1353
1955-12-01,-9637546681.24559
1956-01-01,-9602746682.799072
1956-02-01,-9568030557.600693
1956-03-01,-9533398204.454803
1956-04-01,-9498849522.165604
1956-05-01,-9464384409.537872
1956-06-01,-9430002765.376251
1956-07-01,-9395704488.484818
1956-08-01,-9361489477.66838
1956-09-01,-9327357631.731277
1956-10-01,-9293308849.478012
1956-11-01,-9259343029.713074
1956-12-01,-9225460071.241089
1957-01-01,-9191659872.866241
1957-02-01,-9157942333.393326
1957-03-01,-9124307351.626831
1957-04-01,-9090754826.370926
1957-05-01,-9057284656.430481
1957-06-01,-9023896740.609802
1957-07-01,-8990590977.713257
1957-08-01,-8957367266.545517
1957-09-01,-8924225505.911255
1957-10-01,-8891165594.61441
1957-11-01,-8858187431.45993
1957-12-01,-8825290915.25232
1958-01-01,-8792475944.795639
1958-02-01,-8759742418.894745
1958-03-01,-8727090236.354202
1958-04-01,-8694519295.978134
1958-05-01,-8662029496.57129
1958-06-01,-8629620736.938232
1958-07-01,-8597292915.883179
1958-08-01,-8565045932.210754
1958-09-01,-8532879684.725571
1958-10-01,-8500794072.231918
1958-11-01,-8468788993.534424
1958-12-01,-8436864347.437439
1959-01-01,-8405020032.745621
1959-02-01,-8373255948.263359
1959-03-01,-8341571992.795158
1959-04-01,-8309968065.145523
1959-05-01,-8278444064.118904
1959-06-01,-8246999888.519882
1959-07-01,-8215635437.152824
1959-08-01,-8184350608.822334
1959-09-01,-8153145302.332779
1959-10-01,-8122019416.488777
1959-11-01,-8090972850.094749
1959-12-01,-8060005501.955208
1960-01-01,-8029117270.874619
1960-02-01,-7998308055.65741
1960-03-01,-7967577755.108238
1960-04-01,-7936926268.031517
1960-05-01,-7906353493.231697
1960-06-01,-7875859329.51329
1960-07-01,-7845443675.680672
1960-08-01,-7815106430.538567
1960-09-01,-7784847492.891342
1960-10-01,-7754666761.543488
1960-11-01,-7724564135.2994
1960-12-01,-7694539512.963776
1961-01-01,-7664592793.340958
1961-02-01,-7634723875.235481
1961-03-01,-7604932657.451843
