date,price_trend_logistic,residual_smoothed,price_final,is_observed
1989-09-01,2500.0002338759864,0.0,2500.0002338759864,False
1989-10-01,2500.0002298198983,0.0,2500.0002298198983,False
1989-11-01,2500.000225834155,0.0,2500.000225834155,False
1989-12-01,2500.0002219175362,0.0,2500.0002219175362,False
1990-01-01,2500.000218068843,0.0,2500.000218068843,False
1990-02-01,2500.000214286897,0.0,2500.000214286897,False
1990-03-01,2500.000210570541,0.0,2500.000210570541,False
1990-04-01,2500.0002069186376,0.0,2500.0002069186376,False
1990-05-01,2500.0002033300684,0.0,2500.0002033300684,False
1990-06-01,2500.0001998037355,0.0,2500.0001998037355,False
1990-07-01,2500.00019633856,0.0,2500.00019633856,False
1990-08-01,2500.00019293348,0.0,2500.00019293348,False
1990-09-01,2500.000189587454,0.0,2500.000189587454,False
1990-10-01,2500.000186299458,0.0,2500.000186299458,False
1990-11-01,2500.000183068486,0.0,2500.000183068486,False
1990-12-01,2500.0001798935477,0.0,2500.0001798935477,False
1991-01-01,2500.0001767736717,0.0,2500.0001767736717,False
1991-02-01,2500.000173707904,0.0,2500.000173707904,False
1991-03-01,2500.0001706953053,0.0,2500.0001706953053,False
1991-04-01,2500.000167734954,0.0,2500.000167734954,False
1991-05-01,2500.000164825944,0.0,2500.000164825944,False
1991-06-01,2500.000161967384,0.0,2500.000161967384,False
1991-07-01,2500.0001591584005,0.0,2500.0001591584005,False
1991-08-01,2500.0001563981327,0.0,2500.0001563981327,False
1991-09-01,2500.0001536857358,0.0,2500.0001536857358,False
1991-10-01,2500.0001510203797,0.0,2500.0001510203797,False
1991-11-01,2500.000148401248,0.0,2500.000148401248,False
1991-12-01,2500.0001458275406,0.0,2500.0001458275406,False
1992-01-01,2500.0001432984686,0.0,2500.0001432984686,False
1992-02-01,2500.000140813258,0.0,2500.000140813258,False
1992-03-01,2500.0001383711474,0.0,2500.0001383711474,False
1992-04-01,2500.000135971391,0.0,2500.000135971391,False
1992-05-01,2500.000133613253,0.0,2500.000133613253,False
1992-06-01,2500.000131296012,0.0,2500.000131296012,False
1992-07-01,2500.0001290189584,0.0,2500.0001290189584,False
1992-08-01,2500.000126781396,0.0,2500.000126781396,False
1992-09-01,2500.0001245826393,0.0,2500.0001245826393,False
1992-10-01,2500.000122422015,0.0,2500.000122422015,False
1992-11-01,2500.000120298863,0.0,2500.000120298863,False
1992-12-01,2500.0001182125316,0.0,2500.0001182125316,False
1993-01-01,2500.0001161623836,0.0,2500.0001161623836,False
1993-02-01,2500.0001141477915,0.0,2500.0001141477915,False
1993-03-01,2500.000112168138,0.0,2500.000112168138,False
1993-04-01,2500.0001102228175,0.0,2500.0001102228175,False
1993-05-01,2500.000108311234,0.0,2500.000108311234,False
1993-06-01,2500.000106432803,0.0,2500.000106432803,False
1993-07-01,2500.0001045869503,0.0,2500.0001045869503,False
1993-08-01,2500.000102773109,0.0,2500.000102773109,False
1993-09-01,2500.000100990726,0.0,2500.000100990726,False
1993-10-01,2500.0000992392543,0.0,2500.0000992392543,False
1993-11-01,2500.000097518158,0.0,2500.000097518158,False
1993-12-01,2500.00009582691,0.0,2500.00009582691,False
1994-01-01,2500.000094164994,0.0,2500.000094164994,False
1994-02-01,2500.0000925319,0.0,2500.0000925319,False
1994-03-01,2500.000090927129,0.0,2500.000090927129,False
1994-04-01,2500.000089350189,0.0,2500.000089350189,False
1994-05-01,2500.000087800598,0.0,2500.000087800598,False
1994-06-01,2500.000086277881,0.0,2500.000086277881,False
1994-07-01,2500.0000847815722,0.0,2500.0000847815722,False
1994-08-01,2500.0000833112144,0.0,2500.0000833112144,False
1994-09-01,2500.0000818663566,0.0,2500.0000818663566,False
1994-10-01,2500.0000804465562,0.0,2500.0000804465562,False
1994-11-01,2500.0000790513805,0.0,2500.0000790513805,False
1994-12-01,2500.0000776804004,0.0,2500.0000776804004,False
1995-01-01,2500.000076333197,0.0,2500.000076333197,False
1995-02-01,2500.000075009358,0.0,2500.000075009358,False
1995-03-01,2500.000073708479,0.0,2500.000073708479,False
1995-04-01,2500.0000724301594,0.0,2500.0000724301594,False
1995-05-01,2500.0000711740113,0.0,2500.0000711740113,False
