,price_per_sqm_smoothed
1941-08-01,6262.057832261172
1941-09-01,6267.743406447167
1941-10-01,6244.895100425571
1941-11-01,6222.593074392371
1941-12-01,6203.542700750226
1942-01-01,6242.829052591495
1942-02-01,6273.204354812686
1942-03-01,6305.595493371946
1942-04-01,6315.214802224922
1942-05-01,6295.283631093539
1942-06-01,6304.610792955814
1942-07-01,6252.538695366248
1942-08-01,6219.286993963818
1942-09-01,6224.972568149813
1942-10-01,6202.124262128217
1942-11-01,6179.822236095017
1942-12-01,6160.771862452872
1943-01-01,6200.058214294141
1943-02-01,6230.433516515332
1943-03-01,6262.824655074592
1943-04-01,6272.443963927568
1943-05-01,6252.512792796185
1943-06-01,6261.83995465846
1943-07-01,6209.767857068894
1943-08-01,6176.516155666463
1943-09-01,6182.201729852459
1943-10-01,6159.353423830863
1943-11-01,6137.0513977976625
1943-12-01,6118.001024155517
1944-01-01,6157.287375996787
1944-02-01,6187.662678217977
1944-03-01,6220.053816777237
1944-04-01,6229.673125630214
1944-05-01,6209.741954498831
1944-06-01,6219.069116361105
1944-07-01,6166.99701877154
1944-08-01,6133.745317369109
1944-09-01,6139.430891555105
1944-10-01,6116.582585533509
1944-11-01,6094.280559500308
1944-12-01,6075.230185858163
1945-01-01,6114.516537699433
1945-02-01,6144.891839920623
1945-03-01,6177.282978479883
1945-04-01,6186.9022873328595
1945-05-01,6166.971116201476
1945-06-01,6176.298278063751
1945-07-01,6124.226180474186
1945-08-01,6090.974479071755
1945-09-01,6096.66005325775
1945-10-01,6073.811747236155
1945-11-01,6051.509721202954
1945-12-01,6032.459347560809
1946-01-01,6071.745699402079
1946-02-01,6102.121001623269
1946-03-01,6134.512140182529
1946-04-01,6144.131449035505
1946-05-01,6124.200277904122
1946-06-01,6133.527439766397
1946-07-01,6081.455342176831
1946-08-01,6048.203640774401
1946-09-01,6053.889214960396
1946-10-01,6031.0409089388
1946-11-01,6008.7388829056
1946-12-01,5989.688509263455
1947-01-01,6028.974861104724
1947-02-01,6059.350163325915
1947-03-01,6091.741301885175
1947-04-01,6101.360610738151
1947-05-01,6081.429439606768
1947-06-01,6090.756601469043
1947-07-01,6038.684503879477
1947-08-01,6005.432802477047
1947-09-01,6011.118376663042
1947-10-01,5988.270070641446
1947-11-01,5965.968044608246
1947-12-01,5946.917670966101
1948-01-01,5986.20402280737
1948-02-01,6016.579325028561
1948-03-01,6048.970463587821
1948-04-01,6058.589772440797
1948-05-01,6038.658601309414
1948-06-01,6047.985763171689
1948-07-01,5995.913665582123
1948-08-01,5962.661964179692
1948-09-01,5968.347538365688
1948-10-01,5945.499232344092
1948-11-01,5923.1972063108915
1948-12-01,5904.146832668746
1949-01-01,5943.433184510016
1949-02-01,5973.808486731206
1949-03-01,6006.199625290466
1949-04-01,6015.818934143443
1949-05-01,5995.88776301206
1949-06-01,6005.214924874334
1949-07-01,5953.142827284769
1949-08-01,5919.891125882338
1949-09-01,5925.576700068334
1949-10-01,5902.728394046738
1949-11-01,5880.426368013537
1949-12-01,5861.375994371392
1950-01-01,5900.662346212662
1950-02-01,5931.037648433852
1950-03-01,5963.428786993112
1950-04-01,5973.0480958460885
1950-05-01,5953.116924714705
1950-06-01,5962.44408657698
1950-07-01,5910.371988987415
1950-08-01,5877.120287584984
1950-09-01,5882.805861770979
1950-10-01,5859.957555749384
1950-11-01,5837.655529716183
1950-12-01,5818.605156074038
1951-01-01,5857.891507915308
1951-02-01,5888.266810136498
1951-03-01,5920.657948695758
1951-04-01,5930.277257548734
1951-05-01,5910.346086417351
1951-06-01,5919.673248279626
1951-07-01,5867.60115069006
1951-08-01,5834.34944928763
1951-09-01,5840.035023473625
1951-10-01,5817.186717452029
1951-11-01,5794.884691418829
1951-12-01,5775.834317776684
1952-01-01,5815.120669617953
1952-02-01,5845.495971839144
1952-03-01,5877.887110398404
1952-04-01,5887.50641925138
1952-05-01,5867.575248119997
1952-06-01,5876.902409982272
1952-07-01,5824.830312392706
1952-08-01,5791.578610990276
1952-09-01,5797.264185176271
1952-10-01,5774.415879154675
1952-11-01,5752.113853121475
1952-12-01,5733.0634794793295
1953-01-01,5772.349831320599
1953-02-01,5802.72513354179
1953-03-01,5835.11627210105
1953-04-01,5844.735580954026
1953-05-01,5824.804409822643
1953-06-01,5834.131571684918
1953-07-01,5782.059474095352
1953-08-01,5748.807772692921
1953-09-01,5754.493346878917
1953-10-01,5731.645040857321
1953-11-01,5709.3430148241205
1953-12-01,5690.292641181975
1954-01-01,5729.578993023245
1954-02-01,5759.954295244435
1954-03-01,5792.345433803695
1954-04-01,5801.964742656672
1954-05-01,5782.033571525289
1954-06-01,5791.360733387563
1954-07-01,5739.288635797998
1954-08-01,5706.036934395567
1954-09-01,5711.722508581563
1954-10-01,5688.874202559967
1954-11-01,5666.572176526766
1954-12-01,5647.521802884621
1955-01-01,5686.808154725891
1955-02-01,5717.183456947081
1955-03-01,5749.574595506341
1955-04-01,5759.1939043593175
1955-05-01,5739.262733227934
1955-06-01,5748.589895090209
1955-07-01,5696.517797500644
1955-08-01,5663.266096098213
1955-09-01,5668.951670284208
1955-10-01,5646.103364262613
1955-11-01,5623.801338229412
1955-12-01,5604.750964587267
1956-01-01,5644.0373164285365
1956-02-01,5674.412618649727
1956-03-01,5706.803757208987
1956-04-01,5716.423066061963
1956-05-01,5696.49189493058
